Feature,Coefficient,Abs_Coefficient,Odds_Ratio
topic_label_Dance-Pop,-1.196212960601891,1.196212960601891,0.30233700880181774
topic_label_Space / Isolation Metaphors,1.182471597274867,1.182471597274867,3.2624276536446617
topic_label_Social Identity & Belonging,-0.8939979671768175,0.8939979671768175,0.40901724207029355
topic_label_Pop Love Songs,0.5237811025998216,0.5237811025998216,1.688399607740177
topic_label_Perseverance and Positivity,-0.49210996601141827,0.49210996601141827,0.6113351360494297
topic_label_Holiday / Christmas,0.36934939616326795,0.36934939616326795,1.446793019304445
label_short_simplified_Latin Trap / Urbano,0.30442242384348556,0.30442242384348556,1.3558416749887252
community_simplified_6,0.30442242384348556,0.30442242384348556,1.3558416749887252
topic_label_Independence & Self-empowerment,0.2757359524596374,0.2757359524596374,1.3174999354770953
speechiness,-0.2743192092034403,0.2743192092034403,0.7600894089975008
community_simplified_12,-0.2730976052265355,0.2730976052265355,0.7610185046202471
topic_label_Summer Memories,-0.2588558720143107,0.2588558720143107,0.7719342723582007
category_simplified_Latin / Urbano,0.21712370651688584,0.21712370651688584,1.242497797705789
topic_label_Explicit lyrics / Conflict,-0.21368904472588346,0.21368904472588346,0.8075994732976423
topic_label_Nostalgia & Reflection,0.19300657020542508,0.19300657020542508,1.212890762434408
community_simplified_5,0.19156859695562928,0.19156859695562928,1.2111479113500394
label_short_simplified_Soft Pop / Love,0.19156859695562928,0.19156859695562928,1.2111479113500394
topic_label_Luxury and Excess,0.18760132704344618,0.18760132704344618,1.2063524793583644
community_simplified_2,-0.15563006031060914,0.15563006031060914,0.8558757542233162
label_short_simplified_Latin Pop (Emotional),-0.15563006031060914,0.15563006031060914,0.8558757542233162
community_simplified_1,-0.13941051188523107,0.13941051188523107,0.8698708628250927
label_short_simplified_Mainstream Pop,-0.13941051188523107,0.13941051188523107,0.8698708628250927
topic_label_Desire & Emotions,-0.12974583354820918,0.12974583354820918,0.8783186416857146
topic_label_Dance & Late Nights,-0.12299390705008877,0.12299390705008877,0.8842690503514389
topic_label_Party & Nightlife,0.11855245905372888,0.11855245905372888,1.1258659344143929
instrumentalness,-0.08907111776493157,0.08907111776493157,0.9147805141154709
label_short_simplified_Chant / Hook Pop,-0.08755066040783335,0.08755066040783335,0.9161724568048826
community_simplified_13,-0.08755066040783335,0.08755066040783335,0.9161724568048826
topic_label_Relationship Conflict,0.08651050554415496,0.08651050554415496,1.0903628225123867
category_simplified_Pop / R&B,-0.0814418740344399,0.0814418740344399,0.9217862880147619
label_short_simplified_Pop-R&B (Sensual),-0.0814418740344399,0.0814418740344399,0.9217862880147619
community_simplified_11,-0.0814418740344399,0.0814418740344399,0.9217862880147619
community_simplified_4,0.049293738296409484,0.049293738296409484,1.0505288859887998
category_simplified_Pop / Ballad,0.049293738296409484,0.049293738296409484,1.0505288859887998
label_short_simplified_Romantic Ballads,0.049293738296409484,0.049293738296409484,1.0505288859887998
label_short_simplified_Hype Rap / Flex,0.04850804028531671,0.04850804028531671,1.0497038117045396
max_artist_popularity,-0.04819955456848328,0.04819955456848328,0.9529436038525145
acousticness,0.04540921309641197,0.04540921309641197,1.0464559958016362
community_simplified_8,0.043243893815238486,0.043243893815238486,1.0441925358980857
label_short_simplified_Latin Dance / Reggaeton,0.043243893815238486,0.043243893815238486,1.0441925358980857
community_simplified_3,0.041161461654551944,0.041161461654551944,1.0420203382914426
label_short_simplified_Sad Pop / Breakup,0.041161461654551944,0.041161461654551944,1.0420203382914426
liveness,-0.03801890753778105,0.03801890753778105,0.9626947385319787
community_simplified_10,-0.03548307581943601,0.03548307581943601,0.9651390682796408
label_short_simplified_Melodic Trap,-0.03548307581943601,0.03548307581943601,0.9651390682796408
duration_ms,-0.03216186447634293,0.03216186447634293,0.968349827955259
topic_label_Unlabeled,-0.027481254282019075,0.027481254282019075,0.97289291995882
label_short_simplified_Romantic Reggaeton / Party,0.025087449168768598,0.025087449168768598,1.0254047874000343
community_simplified_9,0.025087449168768598,0.025087449168768598,1.0254047874000343
category_simplified_Rap / Trap,0.02389873960801848,0.02389873960801848,1.0241866031027178
loudness,0.023791458532764976,0.023791458532764976,1.024076733156265
topic_label_Love & Life Themes,0.021736154706651658,0.021736154706651658,1.0219741058375347
energy,0.017391324070768717,0.017391324070768717,1.0175434336635307
danceability,-0.014310573479391814,0.014310573479391814,0.9857913360700536
category_simplified_Other,0.0127348192778802,0.0127348192778802,1.0128162524004425
community_simplified_Other,0.0127348192778802,0.0127348192778802,1.0128162524004425
label_short_simplified_Other,0.0127348192778802,0.0127348192778802,1.0128162524004425
label_short_simplified_Emo Rap / Melodic Hip-Hop,0.011781370189367346,0.011781370189367346,1.0118510438794723
community_simplified_14,0.011781370189367346,0.011781370189367346,1.0118510438794723
tempo,0.008088858512075428,0.008088858512075428,1.008121661715261
topic_label_Romantic Ballads,0.0076069739206613245,0.0076069739206613245,1.007635980450767
category_simplified_Pop,0.005768886317116968,0.005768886317116968,1.0057855583861255
label_short_simplified_Global Trap / Hype,-0.0009075950472290425,0.0009075950472290425,0.9990928166925821
community_simplified_7,-0.0009075950472290425,0.0009075950472290425,0.9990928166925821
